 # lambda  recovered
   1.0000000474974513E-003   4.0813999999999998E-003
   1.1000000047497452E-002   6.7461999999999999E-003
   2.1000000047497452E-002   3.5955399999999998E-002
   3.1000000047497450E-002  0.12736700000000001     
   4.1000000047497452E-002  0.21202800000000002     
   5.1000000047497454E-002  0.28819340000000004     
   6.1000000047497449E-002  0.35393920000000001     
   7.1000000047497458E-002  0.41167079999999995     
   8.1000000047497453E-002  0.46193900000000004     
   9.1000000047497448E-002  0.50953179999999998     
  0.10100000004749746       0.54909679999999994     
  0.11100000004749745       0.58695020000000009     
  0.12100000004749745       0.62000100000000002     
  0.13100000004749746       0.64986920000000004     
  0.14100000004749746       0.67660780000000009     
  0.15100000004749745       0.70060140000000004     
  0.16100000004749745       0.72317719999999996     
  0.17100000004749746       0.74261199999999994     
  0.18100000004749744       0.76060060000000007     
  0.19100000004749745       0.77606160000000002     
  0.20100000004749746       0.79046899999999998     
  0.21100000004749744       0.80432160000000008     
  0.22100000004749745       0.81627120000000009     
  0.23100000004749746       0.82773839999999999     
  0.24100000004749744       0.83758680000000008     
