 # lambda  recovered
   1.0000000474974513E-003   4.0884000000000000E-004
   1.1000000047497452E-002   6.7113199999999998E-003
   2.1000000047497452E-002   6.7380979999999993E-002
   3.1000000047497450E-002  0.15414748000000000     
   4.1000000047497452E-002  0.23679414000000001     
   5.1000000047497454E-002  0.30750635999999998     
   6.1000000047497449E-002  0.37143938000000004     
   7.1000000047497458E-002  0.42785318000000000     
   8.1000000047497453E-002  0.47935197999999996     
   9.1000000047497448E-002  0.52439476000000007     
  0.10100000004749746       0.56482820000000000     
  0.11100000004749745       0.60055281999999999     
  0.12100000004749745       0.63262222000000001     
  0.13100000004749746       0.66142369999999995     
  0.14100000004749746       0.68717978000000002     
  0.15100000004749745       0.71027965999999998     
  0.16100000004749745       0.73145429999999989     
  0.17100000004749746       0.75016270000000007     
  0.18100000004749744       0.76728202000000001     
  0.19100000004749745       0.78297970000000006     
  0.20100000004749746       0.79738543999999989     
  0.21100000004749744       0.81002376000000009     
  0.22100000004749745       0.82244541999999998     
  0.23100000004749746       0.83295907999999996     
  0.24100000004749744       0.84302300000000008     
