 # lambda  recovered
   9.9999997764825821E-003   4.8914386584289499E-003
   2.9999999776482583E-002   6.8773168578993822E-003
   4.9999999776482583E-002   1.3905560458958518E-002
   6.9999999776482580E-002   4.4801412180052957E-002
   8.9999999776482584E-002  0.12379346866725509     
  0.10999999977648259       0.23428949691085613     
  0.12999999977648258       0.31562665489849956     
  0.14999999977648260       0.38805207413945281     
  0.16999999977648259       0.44328067078552519     
  0.18999999977648258       0.49366902030008825     
  0.20999999977648259       0.54296204766107681     
  0.22999999977648258       0.57638040600176521     
  0.24999999977648257       0.60359929390997358     
  0.26999999977648259       0.63109885260370691     
  0.28999999977648261       0.65160723742277138     
  0.30999999977648257       0.66837246248896731     
  0.32999999977648259       0.68787908208296555     
  0.34999999977648261       0.70742277140335397     
  0.36999999977648257       0.72024271844660193     
  0.38999999977648259       0.73143159752868492     
  0.40999999977648260       0.74472021182700798     
  0.42999999977648257       0.75169196822594886     
  0.44999999977648258       0.76063724624889673     
  0.46999999977648260       0.76923477493380410     
  0.48999999977648256       0.78161429832303619     
  0.50999999977648258       0.78724624889673434     
  0.52999999977648260       0.78761606354810243     
  0.54999999977648262       0.79962135922330102     
  0.56999999977648264       0.80642365401588700     
  0.58999999977648254       0.81117210944395413     
  0.60999999977648256       0.81727272727272726     
  0.62999999977648258       0.81984995586937337     
  0.64999999977648260       0.82696381288614307     
  0.66999999977648261       0.83229479258605477     
  0.68999999977648263       0.83481553398058250     
  0.70999999977648265       0.83893998234774936     
  0.72999999977648256       0.84277493380406010     
  0.74999999977648257       0.84258164165931160     
  0.76999999977648259       0.85135304501323916     
  0.78999999977648261       0.85077140335392765     
  0.80999999977648263       0.85648102383053837     
  0.82999999977648264       0.85997087378640780     
  0.84999999977648255       0.86086849073256844     
  0.86999999977648257       0.86473874669020301     
  0.88999999977648259       0.86804060017652251     
  0.90999999977648260       0.86995410414827890     
  0.92999999977648262       0.87251897616946161     
  0.94999999977648264       0.87592850838481906     
  0.96999999977648255       0.87599117387466907     
  0.98999999977648256       0.87864518976169459     
