 Time  Inactive  Infected  Recovered  Total(ct.)
   0.0000000000000000        1128.0000000000000        5.0000000000000000        0.0000000000000000        1133.0000000000000     
  0.10000000000000001        1126.9600000000000        5.5000000000000000       0.54000000000000004        1133.0000000000000     
  0.20000000000000001        1125.9400000000001        5.9199999999999999        1.1399999999999999        1133.0000000000002     
  0.30000000000000004        1124.2400000000000        7.2199999999999998        1.5400000000000000        1133.0000000000000     
  0.40000000000000002        1122.1600000000001        8.5000000000000000        2.3399999999999999        1133.0000000000000     
  0.50000000000000000        1120.0200000000000        9.9399999999999995        3.0400000000000000        1133.0000000000000     
  0.60000000000000009        1116.9600000000000        12.039999999999999        4.0000000000000000        1133.0000000000000     
  0.70000000000000007        1113.5200000000000        14.300000000000001        5.2000000000000002        1133.0200000000000     
  0.80000000000000004        1109.0200000000000        17.340000000000000        6.6399999999999997        1133.0000000000000     
  0.90000000000000002        1103.5400000000000        20.600000000000001        8.9000000000000004        1133.0400000000000     
   1.0000000000000000        1096.0799999999999        25.760000000000002        11.160000000000000        1133.0000000000000     
   1.1000000000000001        1088.2400000000000        30.840000000000000        13.920000000000000        1133.0000000000000     
   1.2000000000000002        1079.2800000000000        36.200000000000003        17.520000000000000        1133.0000000000000     
   1.3000000000000000        1068.6400000000001        43.140000000000001        21.219999999999999        1133.0000000000002     
   1.4000000000000001        1057.4800000000000        49.700000000000003        25.820000000000000        1133.0000000000000     
   1.5000000000000000        1045.9400000000001        55.859999999999999        31.219999999999999        1133.0200000000000     
   1.6000000000000001        1031.5400000000000        63.939999999999998        37.520000000000003        1133.0000000000000     
   1.7000000000000002        1016.9600000000000        71.799999999999997        44.240000000000002        1133.0000000000000     
   1.8000000000000000        1001.3200000000001        79.939999999999998        51.740000000000002        1133.0000000000000     
   1.9000000000000001        985.44000000000005        87.500000000000000        60.060000000000002        1133.0000000000000     
   2.0000000000000000        968.72000000000003        95.239999999999995        69.040000000000006        1133.0000000000000     
   2.1000000000000001        950.29999999999995        103.95999999999999        78.739999999999995        1133.0000000000000     
   2.2000000000000002        932.63999999999999        111.06000000000000        89.299999999999997        1133.0000000000000     
   2.3000000000000003        914.03999999999996        117.64000000000000        101.31999999999999        1133.0000000000000     
   2.4000000000000004        895.91999999999996        123.59999999999999        113.48000000000000        1133.0000000000000     
   2.5000000000000000        878.13999999999999        129.00000000000000        125.86000000000000        1133.0000000000000     
   2.6000000000000001        858.75999999999999        135.22000000000000        139.02000000000001        1133.0000000000000     
   2.7000000000000002        841.67999999999995        138.47999999999999        152.84000000000000        1133.0000000000000     
   2.8000000000000003        824.27999999999997        142.52000000000001        166.19999999999999        1133.0000000000000     
   2.9000000000000004        808.13999999999999        144.58000000000001        180.28000000000000        1133.0000000000000     
   3.0000000000000000        792.77999999999997        145.69999999999999        194.52000000000001        1133.0000000000000     
   3.1000000000000001        778.27999999999997        146.24000000000001        208.50000000000000        1133.0200000000000     
   3.2000000000000002        765.00000000000000        144.80000000000001        223.19999999999999        1133.0000000000000     
   3.3000000000000003        751.38000000000000        143.22000000000000        238.40000000000001        1133.0000000000000     
   3.4000000000000004        738.60000000000002        141.88000000000000        252.52000000000001        1133.0000000000000     
   3.5000000000000000        726.62000000000000        139.38000000000000        267.00000000000000        1133.0000000000000     
   3.6000000000000001        715.36000000000001        136.81999999999999        280.81999999999999        1133.0000000000000     
   3.7000000000000002        705.34000000000003        133.28000000000000        294.38000000000000        1133.0000000000000     
   3.8000000000000003        695.32000000000005        129.74000000000001        307.94000000000000        1133.0000000000000     
   3.9000000000000004        686.51999999999998        125.09999999999999        321.38000000000000        1133.0000000000000     
   4.0000000000000000        678.58000000000004        120.34000000000000        334.07999999999998        1133.0000000000000     
   4.1000000000000005        671.13999999999999        115.81999999999999        346.04000000000002        1133.0000000000000     
   4.2000000000000002        664.12000000000000        111.34000000000000        357.54000000000002        1133.0000000000000     
   4.2999999999999998        657.58000000000004        106.09999999999999        369.31999999999999        1133.0000000000000     
   4.4000000000000004        650.84000000000003        101.66000000000000        380.50000000000000        1133.0000000000000     
   4.5000000000000000        645.44000000000005        96.900000000000006        390.68000000000001        1133.0200000000000     
   4.6000000000000005        640.29999999999995        92.819999999999993        399.88000000000000        1133.0000000000000     
   4.7000000000000002        635.44000000000005        88.620000000000005        408.94000000000000        1133.0000000000000     
   4.8000000000000007        630.88000000000000        85.040000000000006        417.07999999999998        1133.0000000000000     
   4.9000000000000004        626.60000000000002        80.500000000000000        425.89999999999998        1133.0000000000000     
   5.0000000000000000        622.96000000000004        75.900000000000006        434.13999999999999        1133.0000000000000     
   5.1000000000000005        619.74000000000001        72.040000000000006        441.22000000000003        1133.0000000000000     
   5.2000000000000002        616.44000000000005        68.340000000000003        448.22000000000003        1133.0000000000000     
   5.3000000000000007        613.39999999999998        64.840000000000003        454.75999999999999        1133.0000000000000     
   5.4000000000000004        611.12000000000000        60.399999999999999        461.48000000000002        1133.0000000000000     
   5.5000000000000000        608.62000000000000        57.299999999999997        467.07999999999998        1133.0000000000000     
   5.6000000000000005        606.38000000000000        54.460000000000001        472.16000000000003        1133.0000000000000     
   5.7000000000000002        604.20000000000005        50.979999999999997        477.81999999999999        1133.0000000000000     
   5.8000000000000007        602.12000000000000        48.140000000000001        482.74000000000001        1133.0000000000000     
   5.9000000000000004        600.12000000000000        45.240000000000002        487.63999999999999        1133.0000000000000     
   6.0000000000000000        598.13999999999999        42.659999999999997        492.19999999999999        1133.0000000000000     
   6.1000000000000005        596.86000000000001        39.340000000000003        496.80000000000001        1133.0000000000000     
