 # lambda  recovered
   1.0000000474974513E-003   2.0350999999999998E-002
   1.1000000047497452E-002   2.7053000000000001E-002
   2.1000000047497452E-002   4.8723999999999996E-002
   3.1000000047497450E-002  0.10755100000000001     
   4.1000000047497452E-002  0.19392699999999999     
   5.1000000047497454E-002  0.28204299999999999     
   6.1000000047497449E-002  0.35785199999999995     
   7.1000000047497458E-002  0.41776600000000003     
   8.1000000047497453E-002  0.47076000000000001     
   9.1000000047497448E-002  0.51751599999999998     
  0.10100000004749746       0.55628599999999995     
  0.11100000004749745       0.59099999999999997     
  0.12100000004749745       0.62748199999999998     
  0.13100000004749746       0.65453099999999997     
  0.14100000004749746       0.68214599999999992     
  0.15100000004749745       0.70513699999999990     
  0.16100000004749745       0.72568200000000005     
  0.17100000004749746       0.74649699999999997     
  0.18100000004749744       0.76167499999999999     
  0.19100000004749745       0.77822799999999992     
  0.20100000004749746       0.79372100000000001     
  0.21100000004749744       0.80717700000000003     
  0.22100000004749745       0.81786400000000004     
  0.23100000004749746       0.82920100000000008     
  0.24100000004749744       0.83970100000000003     
